"URL","Budget","Date Scraped","Description","Feedback","Job ID","Location","Project Length","Project Payment Type","Proposals","Skill Level","Time Posted","Title","Total Spent","Weekly Hours"
"https://www.upwork.com/jobs/Pine-Script-Coder-Needed_~021883404134854679306/?referrer_url_path=/nx/search/jobs/","$10.00","2025-01-26T09:05:27.266Z","I have a script that gives me ""Stopped - Calculation Error"" messages, and because of this, it won't trigger the alerts. I have about 400 alerts, and almost anything works. In addition, I want to add a couple of options that weren't implemented.",,"1883404134854679306",,,"Project",,"Expert","Posted 2 hours ago","Pine Script Coder Needed",,
"https://www.upwork.com/jobs/Expert-excel-user-financial-models-pivot-tables_~021883397540123365935/?referrer_url_path=/nx/search/jobs/","$50.00 - $100.00","2025-01-26T09:05:27.266Z","i need a pivot table expert to help me build reports for multiple departments. I want an expert that i can discuss approaches to complex financial modeling I will need help building reporting templates and financial forecasts that will be up dated with monthly actual results exportedd from Netsuite in a different format than forecast model",,"1883397540123365935",,"Less than 1 month","Hourly",,"Expert","Posted 2 hours ago","Expert excel user - financial models, pivot tables",,"Less than 30 hrs/week"
"https://www.upwork.com/jobs/Ghostwriter-for-urban-MMF-romance_~021883391556084683311/?referrer_url_path=/nx/search/jobs/","$400.00","2025-01-26T09:05:27.266Z","Looking for a spicy MMF western romance with lgbt trope, sharing. Etc 40k words",,"1883391556084683311",,,"Project",,"Expert","Posted 3 hours ago","Ghostwriter for an urban MMF romance",,
"https://www.upwork.com/jobs/Social-Media-Manager-For-FinTech-Company_~021883392109026043625/?referrer_url_path=/nx/search/jobs/","$10.00 - $60.00","2025-01-26T09:05:27.266Z","About Payyit: Payyit is a FinTech company dedicated to empowering small business owners, especially in high-risk industries, with seamless tools to manage payments, invoicing, and financial operations. Our mission is to inspire and support entrepreneurs while providing them with the tools they need to succeed. The Role: We are seeking a Social Media Manager who is creative, forward-thinking, and passionate about engaging and educating business owners. Our ideal candidate will bring a blend of humor, inspiration, and valuable insights to our social media presence, making it exciting to follow and encouraging business owners to sign up for Payyit. This role also involves staying current on the latest business updates from President Trump and the White House and incorporating relevant news into our social media strategy in an engaging and thoughtful way. What You’ll Do: • Content Creation: Develop and execute a content strategy that balances education, entertainment, and inspiration for small business owners. • Engagement: Create posts that resonate with business owners, encourage interaction, and build a community around the Payyit brand. • Humor & Relatability: Infuse humor and lightheartedness into our content to make the page enjoyable and shareable. • News Updates: Share relevant business-related updates from President Trump, the White House, and other key sources, presenting the information in a way that aligns with our brand voice. • Campaigns: Plan and execute campaigns focused on driving awareness of Payyit’s tools and encouraging sign-ups. • Analytics & Optimization: Monitor key performance metrics (engagement, follower growth, click-through rates) and optimize content based on data. • Trend Spotting: Stay on top of social media trends and ensure our content remains fresh and forward-thinking. What We’re Looking For: • Proven experience managing social media for a brand or organization, preferably in FinTech or B2B. • Strong understanding of small business owners and their challenges. • A creative storyteller with a knack for making complex topics relatable and entertaining. • A sense of humor and ability to create engaging, lighthearted content. • Strong knowledge of social media platforms (Instagram, LinkedIn, Twitter, Facebook, etc.) and content creation tools. • Experience with analytics tools and a data-driven approach to improving performance. • Familiarity with political and business news and the ability to incorporate it into content thoughtfully. • Passion for empowering entrepreneurs and supporting small businesses. Why Join Payyit? • Be part of a dynamic FinTech company making a real difference for small businesses. • Work with a team that values creativity, humor, and innovation. • Competitive compensation and a flexible work environment. • Opportunity to lead and shape a brand’s social media presence from the ground up. How to Apply: If you’re ready to bring your creativity and expertise to Payyit, submit your application with examples of past social media campaigns or posts that showcase your ability to engage and inspire audiences. Let us know why you’d be the perfect fit to lead Payyit’s social media strategy. Join us and help create a social media presence that small business owners can’t resist following!",,"1883392109026043625",,"More than 6 months","Hourly",,"Intermediate","Posted 3 hours ago","Social Media Manager For FinTech Company",,"30+ hrs/week"
"https://www.upwork.com/jobs/Acting-Gig-For-Cinema-Film_~021883390790030681833/?referrer_url_path=/nx/search/jobs/","$20.00 - $52.00","2025-01-26T09:05:27.266Z","A ready to try the best actor/actress. Acting level doesn't matter, either links of stuffed you acted in or send any video auditions you've done.",,"1883390790030681833",,"1 to 3 months","Hourly",,"Entry Level","Posted 3 hours ago","Acting Gig For A Cinema Film",,"Less than 30 hrs/week"
"https://www.upwork.com/jobs/Edit-Trailer-for-Documentary_~021883389628876379342/?referrer_url_path=/nx/search/jobs/","$150.00","2025-01-26T09:05:27.266Z","We have a 30-minute documentary from which we want to create a :45 trailer. We are looking for someone who has edited short, lively videos. After Effects and special effects skills are needed. All the footage for the trailer would be taken from the documentary. Seeking someone with creative juices to bring to the project. The documentary is an exposé of a hospital that covered up fatalities from medical errors. Send samples of short videos that demonstrate editing skills.",,"1883389628876379342",,,"Project",,"Expert","Posted 3 hours ago","Edit :45 Trailer for Documentary",,
"https://www.upwork.com/jobs/Music-Transcribing-lead-lines-from-short-Logic-Pro-projects_~021883400470976058574/?referrer_url_path=/nx/search/jobs/","$20.00 - $30.00","2025-01-26T09:05:27.266Z","I need transcriptions for two songs in logic pro that are not on the grid. These are simple minimal songs and I need the lead string and trumpet parts for a recording session. One's 2:38, the other 2:07 The trumpet in both plays only about half way. The strings repeat. There's a score but it's not entirely accurate but you could certainly use it as a guide. Attached are screenshots of the logic sessions.",,"1883400470976058574",,"Less than 1 month","Hourly",,"Entry Level","Posted 2 hours ago","Music Transcribing lead lines from 2 short Logic Pro projects",,"Less than 30 hrs/week"
"https://www.upwork.com/jobs/Content-Writer-Flyer-Marketing-Brochure-Designer_~021883391819146574492/?referrer_url_path=/nx/search/jobs/","Hourly","2025-01-26T09:05:27.266Z","We are seeking a talented and creative professional to craft compelling content and design visually stunning flyers and brochures. The ideal candidate will have a strong grasp of marketing principles and proven experience creating high-quality, engaging materials that effectively convey our brand message. If you're passionate about designing impactful marketing collateral, we'd love to collaborate with you! Our goal is to partner with a designer to develop content and designs tailored to the diverse industries we serve, highlighting the unique benefits our products offer each customer base. This will be an ongoing project, with topics provided weekly or bi-weekly, and we'll work closely with the designer to ensure every customer category is covered. The deliverables should include high-quality, industry-specific designs that maintain a cohesive look and feel aligned with our branding while being tailored to each audience. Below is an AI-generated sample to provide insight into the type of work we are requesting.",,"1883391819146574492",,"1 to 3 months","Hourly",,"Intermediate","Posted 3 hours ago","Content Writer & Flyer/Marketing Brochure Designer",,"30+ hrs/week"
"https://www.upwork.com/jobs/Grant-Research-and-Writing-Expert-for-Startup_~021883385300153324750/?referrer_url_path=/nx/search/jobs/","$25.00 - $68.00","2025-01-26T09:05:27.266Z","We are seeking an experienced grant research and writing professional to assist in the development of a compelling grant proposal for our startup. The ideal candidate will have a proven track record in securing funds through grants, an understanding of the startup landscape, and the ability to effectively communicate our mission and vision. Your expertise will be crucial in crafting a narrative that resonates with funding organizations. If you have a passion for helping startups succeed and a knack for persuasive writing, we would love to hear from you.",,"1883385300153324750",,"1 to 3 months","Hourly",,"Expert","Posted 3 hours ago","Grant Research and Writing Expert for Startup",,"Less than 30 hrs/week"
"https://www.upwork.com/jobs/Passionate-iOS-Developer-for-Innovative-Mobile-Experiences_~021883357463603528155/?referrer_url_path=/nx/search/jobs/","$67.00 - $81.00","2025-01-26T09:05:27.266Z","We are seeking a dedicated and innovative iOS Developer to join our team full-time. The ideal candidate will have a strong passion for mobile app development and a keen eye for creating user-friendly interfaces. You will be responsible for developing cutting-edge mobile applications that enhance user experience and engagement. If you thrive in a collaborative environment and are excited about pushing the boundaries of mobile technology, we'd love to hear from you! **Relevant Skills:** - Proficiency in Swift and Objective-C - Experience with iOS frameworks (e.g., UIKit, Core Data) - Strong understanding of RESTful APIs - Familiarity with version control systems (e.g., Git) - Knowledge of UI/UX design principles - Experience with testing and debugging iOS applications",,"1883357463603528155",,"More than 6 months","Hourly",,"Entry Level","Posted 2 hours ago","Passionate iOS Developer for Innovative Mobile Experiences",,"Less than 30 hrs/week"
